Wine,Chips,Bread,Butter,Milk,Apple
Wine,NaN,Bread,Butter,Milk,NaN
NaN,NaN,Bread,Butter,Milk,NaN
NaN,Chips,NaN,NaN,NaN,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,NaN,NaN,Milk,NaN
Wine,Chips,Bread,Butter,NaN,Apple
Wine,Chips,NaN,NaN,Milk,NaN
Wine,NaN,Bread,NaN,NaN,Apple
Wine,NaN,Bread,Butter,Milk,NaN
NaN,Chips,Bread,Butter,NaN,Apple
Wine,NaN,NaN,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,NaN
Wine,NaN,Bread,NaN,Milk,Apple
Wine,NaN,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
NaN,Chips,Bread,Butter,Milk,Apple
NaN,Chips,NaN,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,NaN,Bread,Butter,Milk,Apple
Wine,Chips,Bread,NaN,Milk,Apple
NaN,Chips,NaN,NaN,NaN,NaN
